#layer  Play  Plev
550  768.1  769.3
551  765.8  766.9
552  763.4  764.6
553  761.1  762.2
554  758.7  759.9
555  756.4  757.6
556  754.1  755.3
557  751.8  752.9
558  749.5  750.6
559  747.2  748.3
560  744.9  746.0
561  742.6  743.7
562  740.3  741.4
563  738.0  739.2
564  735.7  736.9
565  733.5  734.6
566  731.2  732.3
567  728.9  730.1
568  726.7  727.8
569  724.4  725.6
570  722.2  723.3
571  720.0  721.1
572  717.7  718.8
573  715.5  716.6
574  713.3  714.4
575  711.1  712.2
576  708.8  709.9
577  706.6  707.7
578  704.4  705.5
579  702.2  703.3
580  700.0  701.1
581  697.9  698.9
582  695.7  696.8
583  693.5  694.6
584  691.3  692.4
585  689.2  690.2
586  687.0  688.1
587  684.8  685.9
588  682.7  683.8
589  680.6  681.6
590  678.4  679.5
591  676.3  677.3
592  674.1  675.2
593  672.0  673.1
594  669.9  671.0
595  667.8  668.8
596  665.7  666.7
597  663.6  664.6
598  661.5  662.5
599  659.4  660.4
600  657.3  658.3
601  655.2  656.3
602  653.1  654.2
603  651.1  652.1
604  649.0  650.0
605  646.9  648.0
606  644.9  645.9
607  642.8  643.8
608  640.8  641.8
609  638.7  639.7
610  636.7  637.7
611  634.6  635.7
612  632.6  633.6
613  630.6  631.6
614  628.6  629.6
615  626.6  627.6
616  624.5  625.6
617  622.5  623.5
618  620.5  621.5
619  618.5  619.5
620  616.6  617.6
621  614.6  615.6
622  612.6  613.6
623  610.6  611.6
624  608.6  609.6
625  606.7  607.7
626  604.7  605.7
627  602.8  603.7
628  600.8  601.8
629  598.9  599.8
630  596.9  597.9
631  595.0  596.0
632  593.1  594.0
633  591.1  592.1
634  589.2  590.2
635  587.3  588.3
636  585.4  586.4
637  583.5  584.5
638  581.6  582.6
639  579.7  580.7
640  577.8  578.8
641  576.0  576.9
642  574.1  575.0
643  572.2  573.1
644  570.3  571.3
645  568.5  569.4
646  566.6  567.6
647  564.8  565.7
648  562.9  563.9
649  561.1  562.0
650  559.3  560.2
651  557.4  558.3
652  555.6  556.5
653  553.8  554.7
654  552.0  552.9
655  550.2  551.1
656  548.4  549.3
657  546.6  547.5
658  544.8  545.7
659  543.0  543.9
660  541.2  542.1
661  539.4  540.3
662  537.7  538.5
663  535.9  536.8
664  534.1  535.0
665  532.4  533.3
666  530.6  531.5
667  528.9  529.7
668  527.1  528.0
669  525.4  526.3
670  523.7  524.5
671  521.9  522.8
672  520.2  521.1
673  518.5  519.4
674  516.8  517.6
675  515.1  515.9
676  513.4  514.2
677  511.7  512.5
678  510.0  510.8
679  508.3  509.1
680  506.6  507.4
681  504.9  505.8
682  503.3  504.1
683  501.6  502.4
684  499.9  500.8
685  1011.5  1013.0
686  1008.6  1010.1
687  1005.8  1007.2
688  1002.9  1004.3
689  1000.0  1001.4
690  997.1  998.5
691  994.2  995.7
692  991.4  992.8
693  988.5  990.0
694  985.7  987.1
695  982.9  984.3
696  980.0  981.4
697  977.2  978.6
698  974.4  975.8
699  971.6  973.0
700  968.8  970.2
701  966.0  967.4
702  963.2  964.6
703  960.4  961.8
704  957.6  959.0
705  954.8  956.2
706  952.0  953.4
707  949.3  950.7
708  946.5  947.9
709  943.8  945.1
710  941.0  942.4
711  938.3  939.6
712  935.5  936.9
713  932.8  934.2
714  930.1  931.4
715  927.4  928.7
716  924.7  926.0
717  922.0  923.3
718  919.3  920.6
719  916.6  917.9
720  913.9  915.2
721  911.2  912.5
722  908.5  909.9
723  905.9  907.2
724  903.2  904.5
725  900.5  901.9
726  897.9  899.2
727  895.2  896.6
728  892.6  893.9
729  890.0  891.3
730  887.4  888.7
731  884.7  886.0
732  882.1  883.4
733  879.5  880.8
734  876.9  878.2
735  874.3  875.6
736  871.7  873.0
737  869.1  870.4
738  866.6  867.8
739  864.0  865.3
740  861.4  862.7
741  858.9  860.1
742  856.3  857.6
743  853.7  855.0
744  851.2  852.5
745  848.7  849.9
746  846.1  847.4
747  843.6  844.9
748  841.1  842.3
749  838.6  839.8
750  836.1  837.3
751  833.6  834.8
752  831.1  832.3
753  828.6  829.8
754  826.1  827.3
755  823.6  824.8
756  821.1  822.4
757  818.7  819.9
758  816.2  817.4
759  813.7  815.0
760  811.3  812.5
761  808.8  810.1
762  806.4  807.6
763  804.0  805.2
764  801.5  802.7
765  799.1  800.3
766  796.7  797.9
767  794.3  795.5
768  791.9  793.1
769  789.5  790.7
770  787.1  788.3
771  784.7  785.9
772  782.3  783.5
773  779.9  781.1
774  777.5  778.7
775  775.2  776.4
776  772.8  774.0
