# pres  Tmin  Tmax  qmin  qmax
8.192110000000000582e+04 2.706794786757644147e+02 2.730348430158196606e+02 1.132188364863395691e-03 4.248958546668291092e-03
8.167544999999999709e+04 2.704884726250242579e+02 2.727675218738789340e+02 1.198079087771475315e-03 4.212323576211929321e-03
8.142861666666666861e+04 2.702990534972561818e+02 2.725160276595472055e+02 1.191541086882352829e-03 4.173097200691699982e-03
8.118401666666666279e+04 2.701133552980011814e+02 2.723459895472449830e+02 1.162899658083915710e-03 4.144440405070781708e-03
8.093843333333333430e+04 2.699568545523246144e+02 2.722386986676476681e+02 1.043939264491200447e-03 4.121934063732624054e-03
8.069494999999999709e+04 2.697395836212944005e+02 2.719353560629126605e+02 1.162166357971727848e-03 4.075243137776851654e-03
8.045076666666666279e+04 2.695146596962854346e+02 2.718119481037794003e+02 9.769853204488754272e-04 4.042858257889747620e-03
8.020751666666666279e+04 2.693518486099302436e+02 2.715469916793034599e+02 9.403636795468628407e-04 3.994516562670469284e-03
7.996533333333332848e+04 2.691899555809224580e+02 2.713809509456043543e+02 1.070765079930424690e-03 3.977946471422910690e-03
7.972296666666665988e+04 2.689727645427529978e+02 2.713008489484438996e+02 1.032281201332807541e-03 3.988620359450578690e-03
7.948143333333333430e+04 2.687912604144858619e+02 2.710301368603821857e+02 1.036761561408638954e-03 3.931640647351741791e-03
7.924083333333332848e+04 2.686069076190746614e+02 2.708591495493847674e+02 9.918138384819030762e-04 3.923700656741857529e-03
7.900061666666666861e+04 2.684170737615350504e+02 2.706424130189806760e+02 1.072836690582334995e-03 3.876826725900173187e-03
7.876068333333333430e+04 2.682370908173725184e+02 2.705089651203171570e+02 7.578784716315567493e-04 3.868775907903909683e-03
7.852110000000000582e+04 2.680714492059943836e+02 2.703470076622481315e+02 7.130985613912343979e-04 3.801708109676837921e-03
7.828189999999999418e+04 2.678746645648849380e+02 2.699893704748919845e+02 9.160825284197926521e-04 3.806560300290584564e-03
7.804394999999999709e+04 2.676750797162947038e+02 2.699440975200168964e+02 6.773449713364243507e-04 3.760694293305277824e-03
7.780646666666665988e+04 2.674852906028880852e+02 2.697728738478131731e+02 7.801353931427001953e-04 3.748143091797828674e-03
7.757006666666666570e+04 2.673125504637644667e+02 2.694935095049808638e+02 6.983307539485394955e-04 3.712763078510761261e-03
7.733219999999999709e+04 2.670917849117660694e+02 2.693986511831113830e+02 7.350717787630856037e-04 3.671344136819243431e-03
7.709685000000000582e+04 2.668990034989500941e+02 2.691047844412117342e+02 7.852722192183136940e-04 3.619475988671183586e-03
7.686131666666666570e+04 2.666885194810126904e+02 2.688984530718939254e+02 7.051653228700160980e-04 3.612764645367860794e-03
7.662648333333333721e+04 2.665250813097774767e+02 2.688133207252328702e+02 6.799057009629905224e-04 3.608804661780595779e-03
7.639181666666666570e+04 2.663454976166332244e+02 2.687503467331704314e+02 6.654265453107655048e-04 3.597763366997241974e-03
7.615923333333333721e+04 2.661073797572253739e+02 2.684509208589905143e+02 7.109622820280492306e-04 3.511983435600996017e-03
7.592446666666665988e+04 2.659358809865337889e+02 2.684091065287362881e+02 6.917758728377521038e-04 3.530477406457066536e-03
7.569194999999999709e+04 2.657754777963522770e+02 2.683544073975402853e+02 6.691679009236395359e-04 3.526005195453763008e-03
7.546051666666666279e+04 2.655832969513202784e+02 2.680955121678156843e+02 6.573008722625672817e-04 3.469281829893589020e-03
7.522918333333333430e+04 2.654023862971393442e+02 2.679014277701111837e+02 6.038541905581951141e-04 3.426840063184499741e-03
7.499811666666666861e+04 2.651760515572058807e+02 2.677826391042846694e+02 6.152132991701364517e-04 3.380476031452417374e-03
